date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:41	87335/87335	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2022%20Jan%202026%2014:37:54%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.34.2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/js/frontend-modules.mindba3.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:42	21464/21464	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202025%2020:27:26%20GMT	https://map.jaquelinesalles.com.br/wp/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-includes/js/jquery/ui/core.minb37e.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:43	31880/31880	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2022%20Jan%202026%2014:37:54%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.34.2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/js/frontend.mindba3.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:44	1359/1359	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2022%20Jan%202026%2010:36:54%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/js/extension-reading-progress-bar.min.js?ver=3.20.7	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/js/extension-reading-progress-bar.minde53.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:45	31799/31799	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2022%20Jan%202026%2010:36:54%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/js/happy-addons.min.js?ver=3.20.7	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/js/happy-addons.minde53.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:46	6246/6246	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2012%20Jan%202026%2008:55:11%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.min.js?ver=3.34.0	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.mine7a7.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:47	5661/5661	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2021%20Oct%202025%2010:14:02%20GMT	https://map.jaquelinesalles.com.br/wp/wp-includes/js/dist/hooks.min.js?ver=dd5603f07f9220ed27f1	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-includes/js/dist/hooks.minaf5f.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:48	5314/5314	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2021%20Oct%202025%2010:14:02%20GMT	https://map.jaquelinesalles.com.br/wp/wp-includes/js/dist/i18n.min.js?ver=c26c3dc7bed366793375	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-includes/js/dist/i18n.min1cde.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:49	24045/24045	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2012%20Jan%202026%2008:55:11%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/pro-elements/assets/js/frontend.min.js?ver=3.34.0	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/pro-elements/assets/js/frontend.mine7a7.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:50	44256/44256	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2012%20Jan%202026%2008:55:11%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/pro-elements/assets/js/elements-handlers.min.js?ver=3.34.0	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/pro-elements/assets/js/elements-handlers.mine7a7.js	(from https://map.jaquelinesalles.com.br/wp/)
21:57:51	36732/36732	---M--	200	added ('OK')	image/webp	date:Thu,%2022%20Jan%202026%2012:12:48%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/novo-Bg-jaqueline.webp	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/novo-Bg-jaqueline.webp	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/css/post-84.css?ver=1770832849)
21:57:52	51240/51240	---M--	200	added ('OK')	image/webp	date:Mon,%2012%20Jan%202026%2008:08:49%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/Dobra-4.webp	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/Dobra-4.webp	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/css/post-84.css?ver=1770832849)
21:57:53	19938/19938	---M--	200	added ('OK')	image/webp	date:Mon,%2012%20Jan%202026%2008:08:50%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/mulher.webp	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/mulher.webp	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/css/post-84.css?ver=1770832849)
21:57:54	39920/39920	---M--	200	added ('OK')	image/webp	date:Mon,%2012%20Jan%202026%2008:08:51%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/caminha-mulher-jaque-modificado-1.webp	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/caminha-mulher-jaque-modificado-1.webp	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/css/post-84.css?ver=1770832849)
21:57:55	77968/77968	---M--	200	added ('OK')	image/webp	date:Mon,%2012%20Jan%202026%2008:08:58%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/EBOOK.webp	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/EBOOK.webp	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/css/post-84.css?ver=1770832849)
